close_price,return,rolling_mean_5,rolling_mean_20,rolling_std_5,rolling_std_20,bollinger_upper,bollinger_lower,high_low_range_5,drawdown_10,drawdown_speed,bollinger_width,fed_funds_rate_x_vol,treasury_10y_x_vol,cpi_x_vol
6.962200164794922,-1.4314087095845808e-05,6.962200164794922,6.962200164794922,,,,,0.0,0.0,,,,,
6.963399887084961,0.000172319419385,6.962800025939941,6.962800025939941,0.0008483317668272,0.0008483317668272,6.964496689473596,6.961103362406287,0.001199722290039,0.0,,0.0033933270673092,0.00131491423858216,0.00152699718028896,0.21982566574263185
6.964499950408936,0.0001579779047324,6.963366667429606,6.963366667429606,0.0011502526360471,0.0011502526360471,6.965667172701701,6.961066162157512,0.0022997856140145,0.0,,0.0046010105441887,0.001782891585873005,0.0020819572712452513,0.29806151482097687
6.974500179290772,0.0014358861300944,6.9661500453948975,6.9661500453948975,0.0056454251987933,0.0056454251987933,6.977440895792484,6.954859194997311,0.0123000144958504,0.0,,0.0225817007951736,0.008750409058129616,0.01033112811379174,1.4628820954877115
6.944399833679199,-0.0043157709997555,6.961800003051758,6.961800003051758,0.0108865725181032,0.0108865725181032,6.983573148087965,6.940026858015552,0.0301003456115731,-0.0043157709997555,-0.0060200691223146,0.0435462900724132,0.01687418740305996,0.020357890608852985,2.821004876898528
6.945199966430664,0.0001152198563776,6.958399963378906,6.959033330281575,0.0131498059138131,0.0118634243899958,6.982760179061567,6.935306481501583,0.0301003456115731,-0.0042010484058927,-0.0058600425720216,0.0474536975599839,0.018388307804493492,0.02194733512149223,3.074133571906442
6.951700210571289,0.0009359333312277,6.956060028076172,6.957985741751535,0.0130784225615679,0.0111788248031208,6.980343391357777,6.935628092145293,0.0301003456115731,-0.003269046975894,-0.0045599937438966,0.0447152992124841,0.01732717844483724,0.020457249389711062,2.8967353347582834
6.909299850463867,-0.0060992791436754,6.945020008087158,6.951900005340576,0.0233989971011456,0.0200849028342842,6.992069811009145,6.911730199672007,0.0652003288269051,-0.0093483872895298,-0.013040065765381,0.0803396113371377,0.03113159939314051,0.03715707024342577,5.204540616739562
6.8927001953125,-0.0024025090111341,6.928660011291504,6.94532224867079,0.0260772271348454,0.0272466484524622,6.999815545575714,6.890828951765865,0.059000015258789,-0.0117284367159612,-0.0118000030517578,0.1089865938098491,0.04223230510131641,0.04958890018348121,7.060342273541173
6.900300025939941,0.0011025912069424,6.9198400497436525,6.940820026397705,0.0268685469089132,0.0293699379577902,6.999559902313285,6.882080150482125,0.059000015258789,-0.0106387771802131,-0.0102800369262695,0.1174797518311603,0.04552340383457481,0.05257218894444446,7.610543913188302
6.889800071716309,-0.0015216663310524,6.908760070800781,6.9361818486993965,0.0251650575730739,0.0318272453418761,6.999836339383148,6.8725273580156445,0.0619001388549804,-0.0121442548422268,-0.012380027770996,0.1273089813675039,0.049332230279907956,0.05760731406879575,8.247298603704328
6.878099918365479,-0.0016981847410725,6.89404001235962,6.931341687838237,0.0116823502763073,0.0346700292444103,7.000681746327057,6.862001629349416,0.0311999320983877,-0.0138218163950346,-0.0062399864196775,0.1386801169776408,0.05373854532883597,0.06379285380971496,8.98394066801631
6.858699798583984,-0.0028205638202047,6.883920001983642,6.925753850203294,0.0162011128676671,0.0388298137149684,7.003413477633231,6.848094222773357,0.041600227355957,-0.016603394899986,-0.0083200454711914,0.155319254859874,0.060186211258201026,0.07144685723554187,10.061853138518618
6.865799903869629,0.0010351969752504,6.878539943695069,6.921471425465176,0.0170031266053524,0.0406019899244461,7.002675405314068,6.840267445616283,0.041600227355957,-0.0123567334752199,-0.0069000244140625,0.1624079596977843,0.06293308438289145,0.07227154206551406,10.521071843151946
6.904799938201904,0.0056803336651705,6.879439926147461,6.920359992980957,0.0184963614499779,0.039361139166503,6.999082271313964,6.841637714647951,0.0461001396179199,-0.0067465901792002,0.0,0.1574445566660127,0.06100976570807966,0.06966921632471032,10.199533908798424
6.905700206756592,0.0001303830035257,6.882619953155517,6.919443756341934,0.0217954605947872,0.0382026764940822,6.9958491093300985,6.84303840335377,0.0470004081726074,-0.0066170868163656,0.0,0.1528107059763286,0.05921414856582741,0.06647265709970303,9.899344951882037
6.9355998039245605,0.0043296981150029,6.894119930267334,6.920394112082088,0.031722842382506,0.0371965482694684,6.994787208621025,6.846001015543152,0.0769000053405761,0.0,0.0,0.1487861930778731,0.057654649817676026,0.06323413205809628,9.638629963422538
6.935699939727783,1.4437944237499778e-05,6.909519958496094,6.921244435840183,0.028783076739352,0.036265836055473,6.993776107951129,6.848712763729237,0.0699000358581543,0.0,0.0,0.1450633442218922,0.05621204588598315,0.05838799604931153,9.397457299546552
6.935699939727783,0.0,6.923499965667725,6.922005251834267,0.0166628873885214,0.0353997397320358,6.992804731298339,6.851205772370195,0.0309000015258789,0.0,0.0,0.1415989589281441,0.05486959658465549,0.058409570557859065,9.173028357543242
6.935699939727783,0.0,6.9296799659729,6.922689986228943,0.0134051630489345,0.0345913858826774,6.991872757994298,6.853507214463588,0.0299997329711914,0.0,0.0,0.1383655435307105,0.05361664811814997,0.05534621741228384,8.963562049620547
6.935699939727783,0.0,6.935679912567139,6.921364974975586,4.4782091695555614e-05,0.0334882596487167,6.98834149427302,6.854388455678152,0.0001001358032226,0.0,0.0,0.1339530385948677,0.05190680245551088,0.052576567648485215,8.677712257993011
6.935699939727783,0.0,6.935699939727783,6.919979977607727,0.0,0.0322065702482239,6.984393118104175,6.855566837111279,0.0,0.0,0.0,0.1288262809928966,0.04992018388474704,0.048631921074818084,8.345591928711514
